latitude,longitude
40.712852964907604,-74.00600183731441
40.712833269513844,-74.00528815655012
40.7127524939126,-74.00476508317556
40.71276665245745,-74.00422195650206
40.71284342707637,-74.00375136616859
40.71239449844212,-74.00596942970098
40.71234063766742,-74.00538822968481
40.71231514471324,-74.004835714721
40.712328165295425,-74.00427968322099
40.71234096091536,-74.00353364309609
40.71197074279923,-74.00598243461555
40.711958824055955,-74.00543013818833
40.711905060572114,-74.0048494608065
40.7118816072776,-74.00424064845073
40.71193221734053,-74.0036123334958
40.71140202169602,-74.0060487366221
40.711411750726015,-74.00534254164324
40.711466401943746,-74.0048333677659
40.7114315355816,-74.00417598207024
40.71144946077829,-74.00369718270497
