latitude,longitude
17.44321199,78.49147714
17.443539173236847,78.49157078341871
17.442385296132958,78.49227308486309
17.442903254058766,78.49250719129284
17.44257607073321,78.49260083324137
17.44372994284739,78.49330317207409
17.44321198436717,78.49353727906495
17.443539167604015,78.49363092248365
17.442385290500127,78.49433322392792
17.442903248425935,78.49456733035767
17.442576065100383,78.49466097230616
17.443729937214567,78.4953633111388
17.443211978734347,78.49559741812963
17.443539161971195,78.49569106154831
17.442385284867306,78.49639336299252
17.442903242793115,78.49662746942224
17.442576059467562,78.49672111137072
17.443729931581746,78.49742345020329
17.443211973101526,78.49765755719409
17.443539156338378,78.49775120061275
17.442385279234493,78.49845350205689
