latitude,longitude
34.0522,-118.2437
34.052505914292695,-118.24332975072318
34.05275186875521,-118.243023490343
34.0530361130464,-118.24268728242484
34.053362011103566,-118.24233091456934
34.053673305243905,-118.2419556822019
34.053936338851805,-118.24163354042032
34.05424663411859,-118.2412773703678
34.05450537666917,-118.24093584157649
34.0547702741781,-118.2406045268206
34.05509386657461,-118.24022354667149
34.05538099256504,-118.23984971322854
34.05570612702682,-118.23945032711586
34.05605730150611,-118.2390543645809
34.056409718622646,-118.23863828415296
34.05672649012472,-118.23825791186243
34.05705457823088,-118.2378519073114
34.0573240040164,-118.23753743438586
34.05764035707113,-118.23717128385744
34.057977424999486,-118.23677626643504
