latitude,longitude
17.44321199,78.49147714
17.443250931766457,78.49149369391874
17.443295897830122,78.49155103843253
17.443295897780224,78.49165036196284
17.443334839546683,78.491666915909
17.443379805610345,78.49172426051778
17.44337980556045,78.49182358421263
17.443418747326906,78.4918401381862
17.443463713390567,78.49189748289008
17.443463713340673,78.49199680674963
17.44350265510713,78.49201336075068
17.443547621170794,78.49207070554974
17.4435476211209,78.49217002957414
17.443586562887358,78.49218658360267
17.44363152895102,78.492243928497
17.443631528901122,78.49234325268642
17.44367047066758,78.49235980674247
17.443715436731242,78.49241715173217
17.443715436681344,78.49251647608679
17.443754378447807,78.49253303017038
17.443799344511472,78.49259037525555
